Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse,Unikt navn
1085,Sjælland,376,Guldborgsund Kommune,510151,"Alstrup By, Brarup","Alstrup By, Brarup"
1082,Midtjylland,727,Odder Kommune,1000352,"Ålstrup By, Falling","Ålstrup By, Falling"
1081,Nordjylland,810,Brønderslev Kommune,560551,"Ålstrup By, Jerslev","Ålstrup By, Jerslev"
1082,Midtjylland,661,Holstebro Kommune,1221151,"Alstrup By, Navr","Alstrup By, Navr"
1081,Nordjylland,860,Hjørring Kommune,560851,"Ålstrup Gde., Sejlstrup","Ålstrup Gde., Sejlstrup"
1081,Nordjylland,840,Rebild Kommune,671251,"Alstrup Hede, Kgs. Tisted","Alstrup Hede, Kgs. Tisted"
1085,Sjælland,360,Lolland Kommune,500952,"Ålstrup Hgd., Landet","Ålstrup Hgd., Landet"
1081,Nordjylland,846,Mariagerfjord Kommune,2006053,"Alstrup, Mariager Jorder","Alstrup, Mariager Jorder"
1082,Midtjylland,710,Favrskov Kommune,910751,"Alstrupgård, Rud","Alstrupgård, Rud"
1081,Nordjylland,787,Thisted Kommune,720151,"Ålum By, Agger","Ålum By, Agger"
1082,Midtjylland,730,Randers Kommune,770151,"Ålum By, Ålum","Ålum By, Ålum"
1083,Syddanmark,573,Varde Kommune,1350451,"Ålunde Gde., Fåborg","Ålunde Gde., Fåborg"
1084,Hovedstaden,101,Københavns Kommune,2000151,"Amagerbros Kvarter, København","Amagerbros Kvarter, København"
1083,Syddanmark,480,Nordfyns Kommune,381151,"Amagergårde, Vigerslev","Amagergårde, Vigerslev"
1085,Sjælland,390,Vordingborg Kommune,260551,"Ambæk By, Jungshoved","Ambæk By, Jungshoved"
1083,Syddanmark,630,Vejle kommune,1140151,"Amhede Gde., Egtved","Amhede Gde., Egtved"
1082,Midtjylland,730,Randers Kommune,932051,"Ammelhede By, Virring","Ammelhede By, Virring"
1085,Sjælland,390,Vordingborg Kommune,260152,"Ammendrup By, Allerslev","Ammendrup By, Allerslev"
1084,Hovedstaden,270,Gribskov Kommune,110651,"Ammendrup By, Helsinge","Ammendrup By, Helsinge"
1085,Sjælland,336,Stevns Kommune,310451,"Ammerup By, Hårlev","Ammerup By, Hårlev"
1083,Syddanmark,630,Vejle kommune,1140451,"Ammitsbøl By, Ødsted","Ammitsbøl By, Ødsted"
1081,Nordjylland,846,Mariagerfjord Kommune,881051,"Åmølle, Vindblæs","Åmølle, Vindblæs"
1082,Midtjylland,727,Odder Kommune,1000355,"Amstrup By, Falling","Amstrup By, Falling"
1082,Midtjylland,710,Favrskov Kommune,790852,"Amstrup By, Hvorslev","Amstrup By, Hvorslev"
1082,Midtjylland,730,Randers Kommune,910451,"Amstrupgård, Haslund","Amstrupgård, Haslund"
1081,Nordjylland,787,Thisted Kommune,680151,"Amtoft By, Arup","Amtoft By, Arup"
1082,Midtjylland,657,Herning Kommune,1191452,"Amtrup By, Snejbjerg","Amtrup By, Snejbjerg"
1082,Midtjylland,710,Favrskov Kommune,1060451,"Anbæk, Hammel","Anbæk, Hammel"
1085,Sjælland,326,Kalundborg Kommune,2000956,"Andaks, Kalundborg Jorder","Andaks, Kalundborg Jorder"
1083,Syddanmark,420,Assens Kommune,331651,"Andebølle By, Vissenbjerg","Andebølle By, Vissenbjerg"
1085,Sjælland,360,Lolland Kommune,470751,"Anderstrup By, Hunseby","Anderstrup By, Hunseby"
1083,Syddanmark,461,Odense Kommune,360351,"Anderup By, Lumby","Anderup By, Lumby"
1083,Syddanmark,621,Kolding Kommune,1410651,"Anderup, Stepping","Anderup, Stepping"
1083,Syddanmark,461,Odense Kommune,360352,"Anderupgård, Lumby","Anderupgård, Lumby"
1083,Syddanmark,580,Aabenraa Kommune,1510451,"Andholm, Ø. Løgum","Andholm, Ø. Løgum"
1082,Midtjylland,706,Syddjurs Kommune,931651,"Andi By, Skørring","Andi By, Skørring"
1083,Syddanmark,630,Vejle Kommune,1170251,"Andkær By, Gauerslund","Andkær By, Gauerslund"
1081,Nordjylland,773,Morsø Kommune,740351,"Andrup By, Frøslev","Andrup By, Frøslev"
1081,Nordjylland,849,Jammerbugt Kommune,680651,"Andrup By, Kollerup","Andrup By, Kollerup"
1083,Syddanmark,561,Esbjerg Kommune,2007567,"Andrup, Esbjerg Jorder","Andrup, Esbjerg Jorder"
1081,Nordjylland,846,Mariagerfjord Kommune,2005955,"Andrup, Hobro Jorder","Andrup, Hobro Jorder"
1083,Syddanmark,450,Nyborg Kommune,421051,"Anhof Hgd., Svindinge","Anhof Hgd., Svindinge"
1082,Midtjylland,707,Norddjurs Kommune,940151,"Anholt By, Anholt","Anholt By, Anholt"
1083,Syddanmark,530,Billund Kommune,1360155,"Ankelbo Gde., Grene","Ankelbo Gde., Grene"
1085,Sjælland,306,Odsherred Kommune,160651,"Annebjerggård Hgd., Højby","Annebjerggård Hgd., Højby"
1085,Sjælland,306,Odsherred Kommune,160151,"Annebjerggård Hgd., Nr. Asmindrup","Annebjerggård Hgd., Nr. Asmindrup"
1085,Sjælland,306,Odsherred Kommune,2001052,"Annebjerggård, Nykøbing S. Jorder","Annebjerggård, Nykøbing S. Jorder"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1200451,"Anneksgård, Hoven","Anneksgård, Hoven"
1081,Nordjylland,851,Aalborg Kommune,610551,"Annerup, Ellidshøj","Annerup, Ellidshøj"
1084,Hovedstaden,270,Gribskov Kommune,110151,"Annisse By, Annisse","Annisse By, Annisse"
1082,Midtjylland,740,Silkeborg Kommune,800451,"Ans By, Grønbæk","Ans By, Grønbæk"
1083,Syddanmark,573,Varde Kommune,1330152,"Ansager By, Ansager","Ansager By, Ansager"
1082,Midtjylland,657,Herning Kommune,1192051,"Ansbjerg Gde., Ørre","Ansbjerg Gde., Ørre"
1083,Syddanmark,510,Haderslev Kommune,1410351,"Anslet By, Fjelstrup","Anslet By, Fjelstrup"
1083,Syddanmark,621,Kolding Kommune,1410351,"Anslet, Fjelstrup","Anslet, Fjelstrup"
